name,category,price,column,x,y,original_name
Potato Puff,Puffs Patties & Rolls,25,0,110.0,126.5,Potato Puff
Assorted Corn Pattie,Puffs Patties & Rolls,60,0,141.0,210.0,Aasrtn Cort Pattie
Paneer Roll,Puffs Patties & Rolls,80,0,117.5,237.5,PanconnRoll
Chocolate Pineapple Strawberry,Pastries,60,1,190.0,480.5,(ChocoalarPineappleSrawberry)
Fresh Fruit Pastry,Pastries,60,1,142.5,571.5,FrentFeiailf Pastry
Black Velvet Pastry,Pastries,75,1,139.0,666.5,Black Velver Pastry
Cheese Cake Pastry,Pastries,100,1,144.0,755.5,Cheese Cake Pastry
Apple Pie,Pies / Tarts,120,4,603.5,311.0,ApploPie
Chocolate Pie,Pies / Tarts,120,4,625.5,362.0,ChocolatatPiet
Belgian Fruit Tart,Pies / Tarts,60,4,633.5,387.5,BelganFnuntard
Belgian Chocolate Pie,Pies / Tarts,90,4,652.0,416.5,Belgian Chocolate Ple
Vanilla Muffins,Muffins / Cupcakes,40,5,630.0,548.5,Vanilla Muffins
Chocolate Muffins,Muffins / Cupcakes,50,5,646.5,577.0,Chocolate Muffins
Chocolate Muffins,Muffins / Cupcakes,50,5,645.5,606.0,Chocolate Muffins
Onion and Capsicum Pizza,Perfect Pizzas,220,7,676.5,1007.0,Onion and Capsdian Pizza
Spicy Veg Burger,Burger & Sandwiches,60,8,1101.0,376.5,SgseyVeg.Burger
Cheesy French Fries (Plate),Burger & Sandwiches,130,8,1135.0,401.0,CheesyFredch Fries(Plate))
Sev Puri,Chaat,60,9,1061.5,702.0,Senu Purt
Dahi Golgappe (Per 6 Pcs),Chaat,60,9,1139.5,750.0,Dahi Golgappe (Per 6 Pcs)
Jhal / Suji Golgappe (Per 6 Pcs),Chaat,30,9,1158.5,777.0,Jhahl/ Duji Galgappe (Per 6 Pes)
Veggie Noodles,Chinese,120,10,1090.5,893.0,Veggie Noodles
Hakka Noodles,Chinese,150,10,1089.0,921.0,Hakka Noodles
Fried Momos (Plate),Chinese,100,10,1110.0,1006.0,Fried Momss (Plate)
